Artist,Song Title,Genre,Lyrics
Kendrick-Lamar,Crown,Hip Hop,"You walk around, like everything is in control
Favor come with favors and you can't say no
Go out the way to make the coin available
That's what I call love

The closest ones afraid to say they need some time
The turnaround is life or death, but you don't mind
Go out the way to say you made the compromise
That's what I call love

But the time, it'll come to not be there when somebody needs you
You say, ""No"" and all you've done gives them amnesia
One thing I've learned, love can change with the seasons

And I can't please everybody
No, I can't please everybody
Wait, you can't please everybody
No, I can't please everybody (I can't please everybody)

They idolize and praise your name across the nation
Tap the feed and nod the head for confirmation
Promise that you keep the music in rotation
That's what I call love (that's what I call love)"
Kendrick-Lamar,Silent Hill,Hip Hop,"Hey, oh, yo
Why oh, why oh, why oh, why you keep f- with me?
You gon' make me jump out my skin, believe me

Push these n- off me like, ""Huh""
Push these n- off me like, ""Huh""
Push these n- off me like, ""Huh""
Pushin' the snakes, I'm pushin' the fakes
I'm pushin' 'em all off me like, ""Huh""
Pushin' 'em all off me like, huh (yeah)

Aha, I be immune to sh- (aha)
Tucking the broom and sh- (aha)
They want to assume and sh- (aha)
Know you a choke, my - is too close
I howl at the moon and sh- (aha)
Know the results, the ballot is in, man, I'm 'bout to boom again (aha)
You funny, dawg
Peek-a-boo, can't hide behind your money, dawg
A week or two, I meditate on runnin' lost
Swerve, swerve, swerve, shake the currents off, yeah

Push these n- off me like, ""Huh""
Push these n- off me like, ""Huh""
Push these n- off me like, ""Huh""
Pushin' the snakes, I'm pushin' the fakes
I'm pushin' 'em all off me like, ""Huh"""
Kendrick-Lamar,Savior (Interlude),Hip Hop,"If you derive your sense of identity from being a victim
Let's say, bad things were done to you when you were a child
And you develop a sense of self that is based on the bad things that happened to you

You ever seen your mama strung out while you studied division?
Your uncle ever stole from you, day after Christmas?
Seen both of those in the county jail visits
The first and the fifteenth, the only religion
Noodles in the microwave, shark tank tidal wave
Grandma shooting niggas, blood on the highway
Crosses on the dashboard, you just want a platform
I wanna take everything that I ask for

Catch me a body, I'll put that on anybody but my mama
She showing a pattern for certain
I think it's white panties and minimal condoms
My uncle would tell me the shit in the movies could only be magic
This year, I did 43 shows and took it all home to buy him a casket
Jack of all trades, got money out the way, put my heart in the faith, I'm good, love

Cousin in the courts, heard he jumped out the porch
Turn a brick to a Porsche, I'm good, love"
Kendrick-Lamar,Savior,Hip Hop,"If you derive your sense of identity from being a victim
Let's say, bad things were done to you when you were a child
And you develop a sense of self that is based on the bad things that happened to you

You ever seen your mama strung out while you studied division?
Your uncle ever stole from you, day after Christmas?
Seen both of those in the county jail visits
The first and the fifteenth, the only religion
Noodles in the microwave, shark tank tidal wave
Grandma shooting niggas, blood on the highway
Crosses on the dashboard, you just want a platform
I wanna take everything that I ask for

Catch me a body, I'll put that on anybody but my mama
She showing a pattern for certain
I think it's white panties and minimal condoms
My uncle would tell me the shit in the movies could only be magic
This year, I did 43 shows and took it all home to buy him a casket
Jack of all trades, got money out the way, put my heart in the faith, I'm good, love

Cousin in the courts, heard he jumped out the porch
Turn a brick to a Porsche, I'm good, love"
Kendrick-Lamar,Auntie Diaries,Hip Hop,"Heart plays in ways the mind can't figure out
Heart plays in ways the mind can't-
Heart plays in ways the mind can't figure out
This is how we conceptualize human beings

My auntie is a man now
I think I'm old enough to understand now
Drinking Paul Masson with her hat turned backwards
Motorola pager, off-white Guess jacket
Blue Air Max's, gold chains and curl kits
'93 Nissan wax job, the earliest
Big social, big personality, vocal
Played underground verbatim and stayed local

My auntie is a man now
I watch him and his girl hold their hands down
Tip of the avenues under street lights made his
Thinking, ""I want me a bad bitch when I get big""
They hug on the corner like California king
Cold hand all up her skirt, cars whistling down the road
See, my auntie is a man now, slight bravado
Scratching the likes from lotto
Hoping that she pull up tomorrow
So I can hang out in the front seat
Six by nines, keeping the music up under me

My auntie is a man now
I asked my momma why my uncles don't like him that much
And at the parties why they always wanna fight him that much
She said, ""ain't no telling
Niggas always been jealous because he had more women
More money and more attention made more envy
Calling him anything but broke was less offending""

My auntie is a man now
I think I'm old enough to understand now
Drinking Paul Masson with her hat turned backwards
Back when it was comedic relief to say ""faggot""
""Faggot, faggot, faggot,"" we ain't know no better
Elementary kids with no filter, however
My auntie became a man and I took pride in it"
Kendrick-Lamar,Mr. Morale,Hip Hop,"It was one of the worst performances I've seen in my life
I couldn't sleep last night because I felt this sh-
Ooh, ah, ooh, ah
Ooh, ah, ah, ooh, ah, ah, ah, ah, ah
Yeah, yeah, yeah, yeah, yee!

Enoch, your father's just detoxed, my callin' is right on time
Transformation, I must have a thousand lives
And like three thousand wives
You should know that I'm slightly off writin' off demons that been outside
Better known as myself, I'm a demigod
Every thought is creative, sometimes I'm afraid of my open mind

On my mind and it's heavy
Tear you in pieces 'cause it's way too heavy
My diamonds, the choker is heavy
More life to give on demand, are you ready?
Who keep 'em honest like us?
Who in alignment like us?
Who gotta heal 'em all? Us (us)
When there's no one to call

Don't need no conversation
It ain't about the business, shut the door now
It's a celebration
And if this sh- ain't bussin', what's it for now?

Steppin' out when the weight lifts"
Kendrick-Lamar,Mother I Sober,Hip Hop,"I'm sensitive, I feel everything, I feel everybody
One man standing on two words, heal everybody
Transformation, then reciprocation, karma must return
Heal myself, secrets that I hide, buried in these words
Death threats, ego must die, but I let it purge
Pacify, broken pieces of me, it was all a blur
Mother cried, put they hands on her, it was family ties
I heard it all, I should've grabbed a gun, but I was only five

I still feel it weighing on my heart, my first tough decision
In the shadows clinging to my soul as my only critic
Where's my faith? Told you I was Christian, but just not today
I transformed, prayin' to the trees, God is taking shape
My mother's mother followed me for years in her afterlife
Staring at me on back of some buses, I wake up at night
Loved her dearly, traded in my tears for a Range Rover
Transformation, you ain't felt grief 'til you felt it sober

I wish I was somebody
Anybody but myself
Ooh, I wish I was somebody
Anybody but myself

I remember looking in the mirror knowing I was gifted
Only child, me for seven years, everything for Christmas
Family ties, they accused my cousin, ""Did he touch you Kendrick?""
Never lied, but no one believed me when I said ""He didn't""
Frozen moments, still holding on it, hard to trust myself
I started rhyming, coping mechanisms to lift up myself
Talked to my lawyer, told me not to be so hard on myself
He has an aura, I hope to achieve, if I find some help

Congratulations, made it to be famous, still I feel uneasy
Water watching, live my life in nature, only thing relieves me
Spirit guide whisper in my ear tell me that she sees me
""Did he touch you?"" I said ""No"" again, still they didn't believe me"
Kendrick-Lamar,Mirror,Hip Hop,"(I choose me)

The pressure's taking over me, it's beginning to loom
Better if I spare your feelings and tell you the truth
Lately, I redirected my point of view
You won't grow waitin' on me

I can't live in the matrix, huh
Rather fall short of your graces, huh
This time I won't trade places, huh
Not about who's right, who's wrong, huh
Evolve, the only thing known, huh
Ask me when I'm coming home, huh
Blink twice again, I'm gone

I choose me, I'm sorry
I choose me, I'm sorry
I choose me, I'm sorry
I choose me, I'm sorry
I choose me, I'm sorry
I choose me, I'm sorry

She woke up in the morning for the daily news
I was so low and mourning through the family feuds"
Kendrick-Lamar,The Heart Part 5,Hip Hop,"As I get a little older, I realize life is perspective
And my perspective may differ from yours
I wanna say thank you to everyone that's been down with me
All my fans, all my beautiful fans
Anyone who's ever gave me a listen, all my people

I come from a generation of pain, where murder is minor
Rebellious and Margielas'll chip you for designer
Belt buckles and clout, overzealous if prone to violence
Make the wrong turn, be a will of the wheel alignment

Residue burned, missed at a inner-city
Miscommunication to keep homi' detective busy
No protection is risky
Desensitized, I vandalized pain
Covered up and camouflaged
Get used to hearin' arsenal rain

Analyze, risk your life, take the charge
Homies done fucked your baby mama once you hit the yard, that's culture
Twenty-three hour lockdown, then somebody called
Said your lil' nephew was shot down, the culture's involved

I done seen niggas do seventeen, hit the halfway house
Get out and get his brains blown out, lookin' to buy some weed
Car wash is played out, new GoFundMe accounts'll proceed
A brand-new victim'll shatter those dreams, the culture

(I want, I want, I want, I want)
But I want you to want me too (I want, I want, I want, I want)
I want the hood to want me back (I want, I want, I want, I want)
I want the hood
Look what I done for you (look what I done for you)
Look what I done for you

I said I do this for my culture
To let y'all know what a nigga look like in a bulletproof Rover
In my mama's sofa was a doo-doo popper
Head tricker, walk up closer
Ain't no Photoshoppin'

Friends bipolar, grab you by your pockets
No option if you froze up, always play the offense
Niggas goin' to work and sellin' work, late for work
Workin' late, prayin' for work, but he on paperwork
That's the culture, point the finger, promote ya"
Kendrick-Lamar,Black Panther,Hip Hop,"Wait

King of my city, king of my country, king of my homeland
King of the filthy, king of the fallen, we living again
King of the shooters, looters, boosters, and ghettos poppin'
King of the past, present, future, my ancestors watchin'
King of the culture, king of the soldiers, king of the bloodshed

King of the wisdom, king of the ocean, king of the respect
King of the optimistics and dreamers that go and get it
King of the winners, district, and geniuses with conviction
King of the fighters, king of the fathers, king of the belated
King of the answer, king of the problem, king of the forsaken"
Kendrick-Lamar,All The Stars,Soundtrack,"Love, let's talk about love
Is it anything and everything you for?
Or do the feeling haunt you? (Haunt)
I know the feeling haunt you (Haunt)

This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer
This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer

Tell me what you gon' do to me
Confrontation ain't nothin' new to me
You can bring a bullet, bring a sword, bring a morgue
But you can't bring the truth to me
Fuck you and all your expectations
I don't even want your congratulations
I recognize your false confidence and
Calculated promises all in your conversation
I hate people that feel entitled
Look at me crazy 'cause I ain't invite you
Oh, you important?"
Kendrick-Lamar,King's Dead,Alternative Rap,"Miss me with that bullshit (bullshit)
You ain't really wild, you a tourist (a tourist)
I be blackin' out with the purist (the purist)
I made a hundred thou', then I freaked it (I freaked it)
I made 500 thou', then I freaked it (I freaked it)
I bought a '87 for the weekend (the weekend)
This ain't what you want, this ain't what you want (what you want)
This ain't what you want, this ain't what you want (what you want)

And it's like that, lil' bitch
MVP, I don't get no sleep, no, I don't like that, lil' bitch
Bust that open, I want that ocean, yeah that bite back, lil' bitch
Do it bite back, lil' bitch? Need two life jackets, lil' bitch
I ain't gon' hold you, I ain't gon' press you, never control you
I ain't gon' front you, keep it 100, I don't know you
Boss like Top Dawg, bossed my life up, crossin' over
Stutter steppin', got a Hall of Fame in all my posters
I've been ready, my whip been ready
My bitch been ready, my clique been ready
My shit's been ready, my check's been ready
My shot's on full, that's Armageddon
I got pull, I hope y'all ready
My tank on full, you know, unleaded
I gotta go get it, I gotta go get it
I gotta go get it, I gotta go get it
My name gon' hold up, my team gon' hold up
My name gon' hold up, my team gon' hold up
My shots gon' fire, my team gon' roll up
Ménage-à-trois, my queen gon' roll up
I hope y'all ready, you know I'm ready
I reign all day, you know, confetti
I gotta go get it, I gotta go get it
I gotta go get it, I gotta go get it, skrrt"
Kendrick-Lamar,Big Shot,Hip Hop,"Wakanda
Welcome

Big shot, hol' up, wait, peanut butter insides (no)
Outside, cocaine white, body look like Gentiles (Gentiles)
Emotion, emotion, emotion, emotional
Why you emotional? Why you emotional?
Ah, bitch, you emotional, yeah
Big shot, big shot, (hol' on, hol' on), peanut butter insides (hol' on)
Outside, cocaine white, body look like Gentiles (Gentiles)
Emotion, emotion, emotion, emotional
Why you emotional? Why you emotional?
Ah, bitch, you emotional, yeah

Serve that work for Kung-Fu Kenny
Got juice, got work, got weight, got plenty
Got them, got her, got more, got Benji (yeah)
Top off gettin' topped-off in the city
Big Top Dawg and I dance on 'em like Diddy
Pop off and I pop back like Fiddy (yeah)
I hit the ceiling and forgot about the floor (yeah)
Brand so big, got my haters on the ropes (yeah)
This be the wave, plus I live on the coast (yeah)"
Kendrick-Lamar,Pray For Me,Soundtrack,"Ooh, ooh, ooh, ooh

I'm always ready for a war again
Go down that road again
It's all the same
I'm always ready to take a life again
You know I'll ride again
It's all the same (ooh, ooh, ooh)
Tell me who's gon' save me from myself
When this life is all I know
Tell me who's gon' save me from this hell
Without you, I'm all alone

Who gon' pray for me?
Take my pain for me?
Save my soul for me?
'Cause I'm alone, you see
If I'm gon' die for you
If I'm gon' kill for you
Then I'll spill this blood for you, hey"
Kendrick-Lamar,BLOOD.,West Coast Rap,"Is it wickedness?
Is it weakness?
You decide
Are we gonna live or die?

So I was takin' a walk the other day
And I seen a woman, a blind woman
Pacin' up and down the sidewalk
She seemed to be a bit frustrated
As if she had dropped somethin' and"
Kendrick-Lamar,DNA.,West Coast Rap,"I got, I got, I got, I got
Loyalty, got royalty inside my DNA
Cocaine quarter piece, got war and peace inside my DNA
I got power, poison, pain and joy inside my DNA
I got hustle though, ambition, flow inside my DNA
I was born like this, since one like this, immaculate conception
I transform like this, perform like this, was Yeshua new weapon
I don't contemplate, I meditate, then off your fucking head
This that put-the-kids-to-bed

This that I got, I got, I got, I got
Realness, I just kill shit 'cause it's in my DNA
I got millions, I got riches buildin' in my DNA
I got dark, I got evil, that rot inside my DNA
I got off, I got troublesome heart inside my DNA

I just win again, then win again like Wimbledon, I serve
Yeah, that's him again, the sound that engine in is like a bird
You see fireworks and Corvette tire skrrt the boulevard
I know how you work, I know just who you are

See, you's a, you's a, you's a
Bitch, your hormones prolly switch inside your DNA
Problem is, all that sucker shit inside your DNA
Daddy prolly snitched, heritage inside your DNA
Backbone don't exist, born outside a jellyfish, I gauge
See, my pedigree most definitely don't tolerate the front
Shit I've been through prolly offend you, this is Paula's oldest son
I know murder, conviction, burners, boosters
Burglars, ballers, dead, redemption"
Kendrick-Lamar,YAH.,Downtempo,"New shit, new Kung Fu Kenny

I got so many theories and suspicions
I'm diagnosed with real nigga conditions
Today is the day I follow my intuition
Keep the family close, get money, fuck bitches
I double-parked the Aston in the red
My mama told me that I'ma work myself to death
My girl told me don't let these hoes get in my head
My world been ecstatic, I checked the signal that read-

Buzzin', radars is buzzin'
Yah, yah, yah, yah
Yah, yah, yah, yah, yah, yah"
Kendrick-Lamar,FEEL.,West Coast Rap,"Ain't nobody prayin' for me
Ain't nobody prayin' for me
Ain't nobody prayin' for me
Ain't nobody prayin' for me

Ain't nobody prayin' for me
Ain't nobody prayin' for me
Ain't nobody prayin' for me

I feel like a chip on my shoulders
I feel like I'm losin' my focus
I feel like I'm losin' my patience
I feel like my thoughts in the basement
Feel like, I feel like you're miseducated
Feel like I don't wanna be bothered
I feel like you may be the problem
I feel like it ain't no tomorrow, fuck the world
The world is endin', I'm done pretendin'
And fuck you if you get offended
I feel like friends been overrated
I feel like the family been fakin'
I feel like the feelings are changin'
Feel like my daughter compromised and jaded
Feel like you wanna scrutinize how I made it
Feel like I ain't feelin' you all
Feel like removin' myself, no feelings involved
I feel for you, I've been in the field for you
It's real for you, right? Shit, I feel like"
Kendrick-Lamar,LOYALTY.,Hip Hop,"I said I'm geeked and I'm fired up (fired, fire)
All I want tonight just get high up (high, high, high)
Girl, you look so good, it's to die for (die for)
Ooh that pussy good, it's to die for (on fire)

It's a secret society
All we ask is trust
(All we ask is trust)
All we got is us
Loyalty, loyalty, loyalty
Loyalty, loyalty, loyalty

Kung Fu Kenny, now
My resume is real enough for two millenniums
A better way to make a wave, stop defendin' them
I meditate and moderate all of my wins again
I'm hangin' on the fence again
I'm always on your mind
I put my lyric and my lifeline on the line
And ain't no limit when I might shine, might grind
You rollin' with it at the right time, right now
(Only for the dollar sign)

Bad gyal RiRi, now
Swerve, swerve, swerve, swerve, deeper now
On your pulse like it's EDM
Gas in the bitch like it's premium
Haul ass on a bitch all in the fast lane
Been a bad bitch way before any cash came
I'm established"
Kendrick-Lamar,PRIDE.,West Coast Rap,"Love's gonna get you killed
But pride's gonna be the death of you, and you and me
And you, and you, and you and me
And you, and you, and you and me
And you, and you, and-

Me, I wasn't taught to share, but care
In another life, I surely was there
Me, I wasn't taught to share, but care
I care, I care

Hell-raising, wheel-chasing, new worldly possessions
Flesh-making, spirit-breaking, which one would you lessen?
The better part, the human heart, you love 'em or dissect 'em
Happiness or flashiness? How do you serve the question?

See, in the perfect world, I would be perfect, world
I don't trust people enough beyond their surface, world
I don't love people enough to put my faith in man
I put my faith in these lyrics, hoping I make a band

I understand I ain't perfect, I probably won't come around
This time, I might put you down
Last time, I ain't give a f-, I still feel the same now"
Kendrick-Lamar,HUMBLE.,Hip Hop,"Nobody pray for me
It been that day for me
Way (yeah, yeah!)

Ayy, I remember syrup sandwiches and crime allowances
Finesse a nigga with some counterfeits, but now I'm countin' this
Parmesan where my accountant lives; in fact, I'm downin' this
D'USSÉ with my boo bae tastes like Kool-Aid for the analysts

Girl, I can buy yo' ass the world with my paystub
Ooh, that pussy good, won't you sit it on my taste buds?
I get way too petty once you let me do the extras
Pull up on your block, then break it down, we playin' Tetris

A.m. to the p.m., p.m. to the a.m., funk
Piss out your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk

My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
It's levels to it, you and I know

Bitch, be humble (hol' up, bitch)
Sit down (hol' up, lil', hol' up, lil' bitch)
Be humble (hol' up, bitch)
Sit down (hol' up, sit down, lil', sit down, lil' bitch)"
Kendrick-Lamar,LUST.,West Coast Rap,"I need some water
Somethin' came over me
Way too hot to simmer down
Might as well overheat
Too close to comfort
As blood rush my favorite vein
Heartbeat racin' like a junkie's
I just need you to want me
Am I askin' too much?
Let me put the head in
Ooh, I don't want more than that
Girl, I respect the cat
I promise just a touch
Let me put the head in, if it's okay
She said, ""It's okay.""
Yeah, I need everybody's motherfuckin' hands up right now
I need everybody's motherfuckin'
Door and his Nike Air Rattles
Rush the fire exit, no time for battles
Well I, I never expected
This that new shit
This that new, new shit
Wake up in the mornin', thinkin' 'bout money, kick your feet up
Watch you a comedy, take a shit, then roll some weed up
Go hit you a lick, go fuck on a bitch
Don't go to work today, cop you a fit
Or maybe some kicks and make you—
Door and his Nike Air Rattles
Rush the fire exit, no time for battles
Well I, I never expected
Wake up in the mornin', thinkin' 'bout money, kick your feet up
Watch you a comedy— hol' up!
Wake up in the mornin', thinkin' 'bout money, kick your feet up
Watch you a comedy, take a shit, then roll some weed up
Go hit you a lick, go fuck on a bitch, don't go to work today"
